id,text,nivel,padre_id,padre_text,ruta,es_hoja
SVIMGR,SERVICIO DE INDUSTRIA Y MINAS (IND) (GRANADA),2,CTEICUSSPPGR,SERVICIOS PERIFERICOS GR (IND) (GRANADA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS GR (IND) (GRANADA) > SERVICIO DE INDUSTRIA Y MINAS (IND) (GRANADA)",True
CTEICUSSPPHU,SERVICIOS PERIFERICOS HU (IND) (HUELVA),1,CPIE,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)","CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS HU (IND) (HUELVA)",False
CTEICUHUSGPECEU,"SG PROVINCIAL ECONOMIA, CONOCIMIENTO, EMPRESAS Y UNIVERSIDAD (IND) (HUELVA)",2,CTEICUSSPPHU,SERVICIOS PERIFERICOS HU (IND) (HUELVA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS HU (IND) (HUELVA) > SG PROVINCIAL ECONOMIA, CONOCIMIENTO, EMPRESAS Y UNIVERSIDAD (IND) (HUELVA)",True
,"SV. INDUSTRIA, ENERGIA Y MINAS (HUELVA)",2,CTEICUSSPPHU,SERVICIOS PERIFERICOS HU (IND) (HUELVA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS HU (IND) (HUELVA) > SV. INDUSTRIA, ENERGIA Y MINAS (HUELVA)",True
CTEICUHUSVCEDT,SERVICIO DE COOPERACION ECONOMICA Y DESARROLLO TECNOLOGICO (IND) (HUELVA),2,CTEICUSSPPHU,SERVICIOS PERIFERICOS HU (IND) (HUELVA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS HU (IND) (HUELVA) > SERVICIO DE COOPERACION ECONOMICA Y DESARROLLO TECNOLOGICO (IND) (HUELVA)",True
SVENERGHU,SV. ENERGIA (IND) (HUELVA),2,CTEICUSSPPHU,SERVICIOS PERIFERICOS HU (IND) (HUELVA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS HU (IND) (HUELVA) > SV. ENERGIA (IND) (HUELVA)",True
SVIMHU,SERVICIO DE INDUSTRIA Y MINAS (IND) (HUELVA),2,CTEICUSSPPHU,SERVICIOS PERIFERICOS HU (IND) (HUELVA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS HU (IND) (HUELVA) > SERVICIO DE INDUSTRIA Y MINAS (IND) (HUELVA)",True
CTEICUSSPPJA,SERVICIOS PERIFERICOS JA (IND) (JAEN),1,CPIE,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)","CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS JA (IND) (JAEN)",False
CTEICUJASGPECEU,"SG PROVINCIAL ECONOMIA, CONOCIMIENTO, EMPRESAS Y UNIVERSIDAD (IND) (JAEN)",2,CTEICUSSPPJA,SERVICIOS PERIFERICOS JA (IND) (JAEN),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS JA (IND) (JAEN) > SG PROVINCIAL ECONOMIA, CONOCIMIENTO, EMPRESAS Y UNIVERSIDAD (IND) (JAEN)",True
,"SV. INDUSTRIA, ENERGIA Y MINAS (JAEN)",2,CTEICUSSPPJA,SERVICIOS PERIFERICOS JA (IND) (JAEN),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS JA (IND) (JAEN) > SV. INDUSTRIA, ENERGIA Y MINAS (JAEN)",True
CTEICUJASVCEDT,SERVICIO DE COOPERACION ECONOMICA Y DESARROLLO TECNOLOGICO (IND) (JAEN),2,CTEICUSSPPJA,SERVICIOS PERIFERICOS JA (IND) (JAEN),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS JA (IND) (JAEN) > SERVICIO DE COOPERACION ECONOMICA Y DESARROLLO TECNOLOGICO (IND) (JAEN)",True
SVENERGJA,SV. ENERGIA (IND) (JAEN),2,CTEICUSSPPJA,SERVICIOS PERIFERICOS JA (IND) (JAEN),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS JA (IND) (JAEN) > SV. ENERGIA (IND) (JAEN)",True
SVIMJA,SERVICIO DE INDUSTRIA Y MINAS (IND) (JAEN),2,CTEICUSSPPJA,SERVICIOS PERIFERICOS JA (IND) (JAEN),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS JA (IND) (JAEN) > SERVICIO DE INDUSTRIA Y MINAS (IND) (JAEN)",True
CTEICUSSPPMA,SERVICIOS PERIFERICOS MA (IND) (MALAGA),1,CPIE,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)","CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS MA (IND) (MALAGA)",False
CTEICUMASGPECEU,"SG PROVINCIAL ECONOMIA, CONOCIMIENTO, EMPRESAS Y UNIVERSIDAD (IND) (MALAGA)",2,CTEICUSSPPMA,SERVICIOS PERIFERICOS MA (IND) (MALAGA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS MA (IND) (MALAGA) > SG PROVINCIAL ECONOMIA, CONOCIMIENTO, EMPRESAS Y UNIVERSIDAD (IND) (MALAGA)",True
,"SV. INDUSTRIA, ENERGIA Y MINAS (MALAGA)",2,CTEICUSSPPMA,SERVICIOS PERIFERICOS MA (IND) (MALAGA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS MA (IND) (MALAGA) > SV. INDUSTRIA, ENERGIA Y MINAS (MALAGA)",True
CTEICUMASVCEDT,SERVICIO DE COOPERACION ECONOMICA Y DESARROLLO TECNOLOGICO (IND) (MALAGA),2,CTEICUSSPPMA,SERVICIOS PERIFERICOS MA (IND) (MALAGA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS MA (IND) (MALAGA) > SERVICIO DE COOPERACION ECONOMICA Y DESARROLLO TECNOLOGICO (IND) (MALAGA)",True
SVENERGMA,SV. ENERGIA (IND) (MALAGA),2,CTEICUSSPPMA,SERVICIOS PERIFERICOS MA (IND) (MALAGA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS MA (IND) (MALAGA) > SV. ENERGIA (IND) (MALAGA)",True
SVIMMA,SERVICIO DE INDUSTRIA Y MINAS (IND) (MALAGA),2,CTEICUSSPPMA,SERVICIOS PERIFERICOS MA (IND) (MALAGA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS MA (IND) (MALAGA) > SERVICIO DE INDUSTRIA Y MINAS (IND) (MALAGA)",True
CTEICUSSPPSE,SERVICIOS PERIFERICOS SE (IND) (SEVILLA),1,CPIE,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)","CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS SE (IND) (SEVILLA)",False
CTEICUSESGPECEU,"SG PROVINCIAL ECONOMIA, CONOCIMIENTO, EMPRESAS Y UNIVERSIDAD (IND) (SEVILLA)",2,CTEICUSSPPSE,SERVICIOS PERIFERICOS SE (IND) (SEVILLA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS SE (IND) (SEVILLA) > SG PROVINCIAL ECONOMIA, CONOCIMIENTO, EMPRESAS Y UNIVERSIDAD (IND) (SEVILLA)",True
CTEICUSESVCEDT,SERVICIO DE COOPERACION ECONOMICA Y DESARROLLO TECNOLOGICO (IND) (SEVILLA),2,CTEICUSSPPSE,SERVICIOS PERIFERICOS SE (IND) (SEVILLA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS SE (IND) (SEVILLA) > SERVICIO DE COOPERACION ECONOMICA Y DESARROLLO TECNOLOGICO (IND) (SEVILLA)",True
DPESIEMSE,SV. ENERGIA (IND) (SEVILLA),2,CTEICUSSPPSE,SERVICIOS PERIFERICOS SE (IND) (SEVILLA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS SE (IND) (SEVILLA) > SV. ENERGIA (IND) (SEVILLA)",True
PSIEMSE,SERVICIO DE INDUSTRIA Y MINAS (IND) (SEVILLA),2,CTEICUSSPPSE,SERVICIOS PERIFERICOS SE (IND) (SEVILLA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS SE (IND) (SEVILLA) > SERVICIO DE INDUSTRIA Y MINAS (IND) (SEVILLA)",False
DPISIEMSE,DEPARTAMENTO DE INDUSTRIA (IND),3,PSIEMSE,SERVICIO DE INDUSTRIA Y MINAS (IND) (SEVILLA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS SE (IND) (SEVILLA) > SERVICIO DE INDUSTRIA Y MINAS (IND) (SEVILLA) > DEPARTAMENTO DE INDUSTRIA (IND)",True
DPMSIEMSE,DEPARTAMENTO DE MINAS (IND) (SEVILLA),3,PSIEMSE,SERVICIO DE INDUSTRIA Y MINAS (IND) (SEVILLA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS SE (IND) (SEVILLA) > SERVICIO DE INDUSTRIA Y MINAS (IND) (SEVILLA) > DEPARTAMENTO DE MINAS (IND) (SEVILLA)",True
VICECPIE,VICECONSEJERIA (IND),1,CPIE,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)","CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > VICECONSEJERIA (IND)",False
GABJURUDICOCPIE,GABINETE JURIDICO (IND),2,VICECPIE,VICECONSEJERIA (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > VICECONSEJERIA (IND) > GABINETE JURIDICO (IND)",True
SVCOORDCPIE,SERVICIO COORDINACION (IND),2,VICECPIE,VICECONSEJERIA (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > VICECONSEJERIA (IND) > SERVICIO COORDINACION (IND)",True
